"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Stone Docent","W","C","123893","5.75","23206","7.54","117626","78.4%","57.8%","21018","58.6%","29015","56.6%","50033","57.4%","67514","58.1%","-0.7pp"
"Group Project","W","U","41194","4.39","10273","5.29","54589","82.3%","57.6%","9877","57.8%","13489","57.1%","23366","57.4%","31187","57.8%","-0.4pp"
"Skycoach Conductor","U","R","9695","2.31","4165","2.42","22456","85.3%","54.8%","3832","55.3%","6519","58.6%","10351","57.4%","11603","52.3%","5.1pp"
"Tablet of Discovery","R","U","43421","4.67","9945","5.77","43339","69.8%","55.5%","7664","55.7%","12784","58.4%","20448","57.4%","22101","53.6%","3.8pp"
"Studious First-Year","G","C","88551","3.87","19766","4.88","105608","86.5%","54.4%","19446","59.5%","27638","55.7%","47084","57.3%","57377","52.1%","5.2pp"
"Knockout Maneuver","G","U","37884","4.00","7431","5.18","37334","80.8%","54.4%","6286","54.3%","9862","59.1%","16148","57.3%","20725","52.1%","5.2pp"
"Flow State","U","U","36851","3.81","9675","4.67","50050","83.4%","54.7%","8894","53.1%","14980","59.7%","23874","57.3%","24784","51.9%","5.4pp"
"Cyclonic Rift","U","M","885","1.94","475","","2679","90.8%","55.0%","453","","779","60.6%","1232","57.2%","1367","52.1%","5.1pp"
"Wildgrowth Archaic","G","R","7550","1.86","3990","1.88","22118","88.8%","54.3%","3974","57.8%","6017","56.9%","9991","57.2%","11682","51.8%","5.4pp"
"Essence Scatter","U","C","116437","5.30","23869","6.91","120124","80.7%","54.7%","21257","55.3%","34789","58.4%","56046","57.2%","61215","52.1%","5.1pp"
"Quill-Blade Laureate","W","U","34342","3.66","8796","4.42","49192","87.5%","57.2%","8962","57.2%","12340","57.1%","21302","57.2%","27774","57.2%","-0.0pp"
"Deduce","U","U","47968","5.15","8676","6.94","38415","71.2%","54.7%","6841","55.9%","11239","57.9%","18080","57.2%","19586","52.2%","5.0pp"
"Grapple with Death","BG","C","91235","4.06","17139","5.35","90713","84.6%","54.8%","15395","53.5%","23769","59.5%","39164","57.2%","50599","52.8%","4.4pp"
"Mana Sculpt","U","R","16446","3.67","4112","4.35","19030","73.8%","54.5%","3176","53.7%","5810","59.0%","8986","57.1%","9526","51.2%","5.9pp"
"Magmablood Archaic","R","R","9952","2.44","4567","2.50","24692","86.6%","55.3%","4257","54.9%","7407","58.4%","11664","57.1%","12764","53.5%","3.6pp"
"Prismatic Ending","W","R","4360","4.27","975","5.53","3543","57.9%","54.8%","600","53.8%","1001","59.0%","1601","57.1%","1874","52.2%","4.8pp"
"Terramorphic Expanse","","C","113309","4.61","25591","6.33","151910","94.2%","55.6%","28817","57.6%","39834","56.6%","68651","57.0%","81943","54.5%","2.6pp"
"Monstrous Rage","R","U","48245","5.35","7917","7.21","28266","56.6%","55.5%","4659","56.1%","7393","57.5%","12052","57.0%","16044","54.2%","2.7pp"
"Vastlands Scavenger","G","R","8385","2.04","3689","2.05","19322","84.8%","54.2%","3409","55.8%","5128","57.8%","8537","57.0%","10487","52.0%","5.0pp"
"Killian's Confidence","WB","U","39741","4.40","7764","5.46","36737","74.5%","56.7%","6181","56.0%","8753","57.5%","14934","56.9%","21645","56.5%","0.4pp"
"Spectacle Summit","","C","143978","5.46","29111","7.49","149926","81.9%","55.1%","27883","56.2%","42471","57.3%","70354","56.9%","77304","53.4%","3.5pp"
"Erode","W","R","10750","2.51","3352","2.74","17380","82.6%","55.8%","3024","53.6%","4648","58.9%","7672","56.8%","9562","54.9%","1.9pp"
"Disdainful Stroke","U","U","47350","5.11","8655","6.83","38677","71.8%","54.4%","6692","53.4%","11464","58.8%","18156","56.8%","19511","51.5%","5.3pp"
"Eager Glyphmage","W","C","129674","6.25","20875","8.52","78475","58.6%","57.2%","13326","56.5%","20167","56.9%","33493","56.8%","44746","57.5%","-0.7pp"
